Ward,Searches,Searches_Got_Estimate,Searches_For_Quotes,Searches_Got_Quotes,Bookings,Completed_Trips,Search_To_Estimate_Rate,Estimate_To_Quote_Search_Rate,Quote_Acceptance_Rate,Quote_To_Booking_Rate,Cancelled_Bookings,Booking_Cancellation_Rate,Conversion_Rate,Drivers_Earnings,Average_Distance_Per_Trip_Km,Average_Fare_Per_Trip,Distance_Travelled_Km,Is_Bangalore_Total,Completion_Rate_From_Bookings,Fare_Per_Km,Earnings_Per_Completed_Trip,Distance_Per_Completed_Trip_Km,Booking_to_Search_Rate,Searches_Percentile,Bookings_Percentile,Completed_Trips_Percentile,Conversion_Rate_Percentile,Booking_Cancellation_Rate_Percentile,Average_Fare_Per_Trip_Percentile,Average_Distance_Per_Trip_Km_Percentile,Drivers_Earnings_Percentile,Demand_Quartile,Conversion_Quartile,Cancellation_Quartile
Uttarahalli,186490,185055,140087,98160,95735,65255,99.2,75.7,70.1,97.5,30463,31.8,35.0,8320142,7.63,135.69,473598,False,68.16211416932157,17.783748361730012,127.50198452225884,7.257650754731438,51.33519223550861,52.459016393442624,57.786885245901644,59.42622950819673,68.0327868852459,23.565573770491806,63.934426229508205,63.729508196721305,53.68852459016394,High,High,Low
Begur,265563,263194,209042,106436,104409,65013,99.1,79.4,50.9,98.1,39383,37.7,24.5,10898601,9.51,165.47,632169,False,62.267620607418905,17.39957939011567,167.63725716395183,9.723732176641596,39.316094486054155,68.85245901639344,62.704918032786885,59.01639344262295,20.28688524590164,66.80327868852459,95.08196721311475,94.67213114754098,67.62295081967213,High,Low,High
Kaval Bairasandra,193601,192567,152405,97995,96136,63841,99.5,79.1,64.3,98.1,32275,33.6,33.0,8533133,6.86,124.91,483576,False,66.40696513272863,18.208454810495624,133.66227032784573,7.574693378863113,49.656768301816626,54.09836065573771,58.19672131147541,58.606557377049185,57.786885245901644,38.114754098360656,40.98360655737705,37.295081967213115,55.32786885245902,High,High,Moderate
Malleswaram,166854,165380,122220,93842,91944,63512,99.1,73.9,76.8,98.0,28406,30.9,38.1,7687376,6.73,120.55,436550,False,69.07682937440181,17.91233283803863,121.03816601587101,6.873504219675022,55.104462584055526,49.59016393442623,54.09836065573771,58.19672131147541,81.76229508196722,17.008196721311474,30.737704918032787,32.78688524590164,51.229508196721305,Moderate,Very High,Low
Varthuru,402250,390539,324590,105265,103606,62888,97.1,83.1,32.4,98.4,40705,39.3,15.6,12961411,10.96,190.49,759723,False,60.6991873057545,17.380474452554743,206.10308802951278,12.080571810202265,25.75661901802362,81.55737704918032,61.47540983606557,57.786885245901644,0.819672131147541,74.79508196721312,99.59016393442623,99.18032786885246,74.18032786885246,Very High,Low,High
Hagadur,278239,274893,217235,104341,102653,62887,98.8,79.0,48.0,98.4,39751,38.7,22.6,11127797,8.77,153.23,643245,False,61.26172639864398,17.47206385404789,176.94908327635284,10.22858460413122,36.89382149878342,69.67213114754098,60.65573770491803,57.377049180327866,11.270491803278688,70.49180327868852,87.70491803278688,88.11475409836066,68.44262295081968,High,Low,High
Padmanabha Nagar,158399,157105,120091,90719,88380,62331,99.2,76.4,75.5,97.4,26035,29.5,39.4,7340332,6.31,113.41,414667,False,70.52613713509844,17.973058637083994,117.76374516693139,6.65266079478911,55.795806791709545,47.950819672131146,51.229508196721305,56.9672131147541,85.45081967213115,11.475409836065573,13.524590163934427,16.39344262295082,48.77049180327869,Moderate,Very High,Low
Chamrajapet,200517,198991,150994,104756,102838,61777,99.2,75.9,69.4,98.2,41031,39.9,30.8,7786960,6.75,120.21,445176,False,60.072152317236814,17.808888888888887,126.04950062320928,7.206177056185959,51.28642459242857,56.14754098360656,61.065573770491795,56.557377049180324,44.67213114754098,77.6639344262295,29.918032786885245,33.40163934426229,52.04918032786885,High,Moderate,Very High
Umamaheshwara Ward,164543,163007,125458,91960,89945,61347,99.1,77.0,73.3,97.8,28580,31.8,37.3,7419194,5.88,107.51,418110,False,68.20501417532937,18.28401360544218,120.93817138572383,6.815492200107585,54.663522605033336,48.77049180327869,53.68852459016394,56.14754098360656,77.45901639344262,23.565573770491806,3.6885245901639343,4.918032786885246,50.0,Moderate,Very High,Low
Yelahanka Satellite Town,169746,168473,120260,96807,95135,61324,99.3,71.4,80.5,98.3,33788,35.5,36.1,9808967,8.69,149.5,577463,False,64.45997792610501,17.203682393555813,159.95315047942077,9.416590568129934,56.04550328137334,50.409836065573764,56.14754098360656,55.73770491803278,72.74590163934425,52.66393442622951,83.19672131147541,86.88524590163934,63.114754098360656,High,High,High
